journal	category
ACTA INFORMATICA	COMPUTER SCIENCE, INFORMATION SYSTEMS
AD HOC & SENSOR WIRELESS NETWORKS	COMPUTER SCIENCE, INFORMATION SYSTEMS
AD HOC NETWORKS	COMPUTER SCIENCE, INFORMATION SYSTEMS
APPLIED ONTOLOGY	COMPUTER SCIENCE, INFORMATION SYSTEMS
ASLIB JOURNAL OF INFORMATION MANAGEMENT	COMPUTER SCIENCE, INFORMATION SYSTEMS
BELL LABS TECHNICAL JOURNAL	COMPUTER SCIENCE, INFORMATION SYSTEMS
BIG DATA RESEARCH	COMPUTER SCIENCE, INFORMATION SYSTEMS
BUSINESS & INFORMATION SYSTEMS ENGINEERING	COMPUTER SCIENCE, INFORMATION SYSTEMS
CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS	COMPUTER SCIENCE, INFORMATION SYSTEMS
COMPUTER COMMUNICATIONS	COMPUTER SCIENCE, INFORMATION SYSTEMS
COMPUTER JOURNAL	COMPUTER SCIENCE, INFORMATION SYSTEMS
COMPUTER NETWORKS	COMPUTER SCIENCE, INFORMATION SYSTEMS
COMPUTER SCIENCE AND INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
COMPUTERS & SECURITY	COMPUTER SCIENCE, INFORMATION SYSTEMS
DATA & KNOWLEDGE ENGINEERING	COMPUTER SCIENCE, INFORMATION SYSTEMS
DATA MINING AND KNOWLEDGE DISCOVERY	COMPUTER SCIENCE, INFORMATION SYSTEMS
DATA TECHNOLOGIES AND APPLICATIONS	COMPUTER SCIENCE, INFORMATION SYSTEMS
DECISION SUPPORT SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
DIGITAL INVESTIGATION	COMPUTER SCIENCE, INFORMATION SYSTEMS
DISTRIBUTED AND PARALLEL DATABASES	COMPUTER SCIENCE, INFORMATION SYSTEMS
ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS	COMPUTER SCIENCE, INFORMATION SYSTEMS
ENTERPRISE INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
EUROPEAN JOURNAL OF INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL	COMPUTER SCIENCE, INFORMATION SYSTEMS
FRONTIERS OF COMPUTER SCIENCE	COMPUTER SCIENCE, INFORMATION SYSTEMS
FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING	COMPUTER SCIENCE, INFORMATION SYSTEMS
GEOINFORMATICA	COMPUTER SCIENCE, INFORMATION SYSTEMS
HUMAN-CENTRIC COMPUTING AND INFORMATION SCIENCES	COMPUTER SCIENCE, INFORMATION SYSTEMS
IBM JOURNAL OF RESEARCH AND DEVELOPMENT	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE ACCESS	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE CLOUD COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE COMMUNICATIONS SURVEYS AND TUTORIALS	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE INTERNET OF THINGS JOURNAL	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE LATIN AMERICA TRANSACTIONS	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE MULTIMEDIA	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE NETWORK	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE PERVASIVE COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE SECURITY & PRIVACY	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE SYSTEMS JOURNAL	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE TRANSACTIONS ON CLOUD COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE TRANSACTIONS ON INFORMATION THEORY	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE TRANSACTIONS ON MOBILE COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE TRANSACTIONS ON MULTIMEDIA	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE TRANSACTIONS ON SERVICES COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE WIRELESS COMMUNICATIONS	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEEE WIRELESS COMMUNICATIONS LETTERS	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUT ER SCIENCES	COMPUTER SCIENCE, INFORMATION SYSTEMS
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
IET INFORMATION SECURITY	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFOR	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFORMATICA	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFORMATION & MANAGEMENT	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFORMATION AND SOFTWARE TECHNOLOGY	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFORMATION PROCESSING & MANAGEMENT	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFORMATION PROCESSING LETTERS	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFORMATION RETRIEVAL JOURNAL	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFORMATION SCIENCES	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFORMATION SYSTEMS FRONTIERS	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFORMATION SYSTEMS MANAGEMENT	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFORMATION TECHNOLOGY AND CONTROL	COMPUTER SCIENCE, INFORMATION SYSTEMS
INFORMATION TECHNOLOGY AND LIBRARIES	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF AD HOC AND UBIQUITOUS COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF COMPUTERS COMMUNICATIONS & CONTROL	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF CRITICAL INFRASTRUCTURE PROTECTION	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF INFORMATION SECURITY	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF SENSOR NETWORKS	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL OF WEB SERVICES RESEARCH	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNATIONAL JOURNAL ON SEMANTIC WEB AND INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
INTERNET RESEARCH	COMPUTER SCIENCE, INFORMATION SYSTEMS
IT PROFESSIONAL	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF CHEMICAL INFORMATION AND MODELING	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF CHEMINFORMATICS	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF COMMUNICATIONS AND NETWORKS	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF COMPUTER INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF DATABASE MANAGEMENT	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF GRID COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF INFORMATION SCIENCE	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF INFORMATION TECHNOLOGY	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF INTERNET TECHNOLOGY	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF ORGANIZATIONAL AND END USER COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL IMAGE AND VIDEO TECHNOLOGY	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF STRATEGIC INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF THE ACM	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION	COMPUTER SCIENCE, INFORMATION SYSTEMS
JOURNAL OF WEB SEMANTICS	COMPUTER SCIENCE, INFORMATION SYSTEMS
KNOWLEDGE AND INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
METHODS OF INFORMATION IN MEDICINE	COMPUTER SCIENCE, INFORMATION SYSTEMS
MIS QUARTERLY	COMPUTER SCIENCE, INFORMATION SYSTEMS
MOBILE INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
MOBILE NETWORKS & APPLICATIONS	COMPUTER SCIENCE, INFORMATION SYSTEMS
MULTIMEDIA SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
MULTIMEDIA TOOLS AND APPLICATIONS	COMPUTER SCIENCE, INFORMATION SYSTEMS
NEW REVIEW OF HYPERMEDIA AND MULTIMEDIA	COMPUTER SCIENCE, INFORMATION SYSTEMS
ONLINE INFORMATION REVIEW	COMPUTER SCIENCE, INFORMATION SYSTEMS
OPTICAL SWITCHING AND NETWORKING	COMPUTER SCIENCE, INFORMATION SYSTEMS
PEER-TO-PEER NETWORKING AND APPLICATIONS	COMPUTER SCIENCE, INFORMATION SYSTEMS
PERSONAL AND UBIQUITOUS COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
PERVASIVE AND MOBILE COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
PHOTONIC NETWORK COMMUNICATIONS	COMPUTER SCIENCE, INFORMATION SYSTEMS
RAIRO-THEORETICAL INFORMATICS AND APPLICATIONS	COMPUTER SCIENCE, INFORMATION SYSTEMS
REQUIREMENTS ENGINEERING	COMPUTER SCIENCE, INFORMATION SYSTEMS
SCIENCE CHINA-INFORMATION SCIENCES	COMPUTER SCIENCE, INFORMATION SYSTEMS
SECURITY AND COMMUNICATION NETWORKS	COMPUTER SCIENCE, INFORMATION SYSTEMS
SEMANTIC WEB	COMPUTER SCIENCE, INFORMATION SYSTEMS
SIGMOD RECORD	COMPUTER SCIENCE, INFORMATION SYSTEMS
SUSTAINABLE COMPUTING-INFORMATICS & SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
TSINGHUA SCIENCE AND TECHNOLOGY	COMPUTER SCIENCE, INFORMATION SYSTEMS
VLDB JOURNAL	COMPUTER SCIENCE, INFORMATION SYSTEMS
WIRELESS COMMUNICATIONS & MOBILE COMPUTING	COMPUTER SCIENCE, INFORMATION SYSTEMS
WIRELESS NETWORKS	COMPUTER SCIENCE, INFORMATION SYSTEMS
WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS	COMPUTER SCIENCE, INFORMATION SYSTEMS
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
ADVANCES IN ENGINEERING SOFTWARE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFAC TURING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
APPLIED SOFT COMPUTING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
ASTRONOMY AND COMPUTING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
BIG DATA	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
CIN-COMPUTERS INFORMATICS NURSING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRI CAL AND ELECTRONIC ENGINEERING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTATIONAL BIOLOGY AND CHEMISTRY	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTATIONAL GEOSCIENCES	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTATIONAL LINGUISTICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTATIONAL STATISTICS & DATA ANALYSIS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTER MUSIC JOURNAL	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTER PHYSICS COMMUNICATIONS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTER SUPPORTED COOPERATIVE WORK-THE JOURNAL OF COLLABORATIVE COMPUTING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS & CHEMICAL ENGINEERING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS & EDUCATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS & ELECTRICAL ENGINEERING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS & FLUIDS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS & GEOSCIENCES	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS & INDUSTRIAL ENGINEERING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS & OPERATIONS RESEARCH	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS & STRUCTURES	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS AND CONCRETE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS AND ELECTRONICS IN AGRICULTURE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS AND GEOTECHNICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS IN BIOLOGY AND MEDICINE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTERS IN INDUSTRY	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
COMPUTING IN SCIENCE & ENGINEERING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
CURRENT COMPUTER-AIDED DRUG DESIGN	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
DIGITAL INVESTIGATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
EARTH SCIENCE INFORMATICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
ENGINEERING COMPUTATIONS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
ENGINEERING WITH COMPUTERS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
ENVIRONMENTAL MODELLING & SOFTWARE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTE MS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
IEEE TRANSACTIONS ON MEDICAL IMAGING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
INDUSTRIAL MANAGEMENT & DATA SYSTEMS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
INFORMS JOURNAL ON COMPUTING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
INTEGRATED COMPUTER-AIDED ENGINEERING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
INTERNATIONAL JOURNAL OF MODERN PHYSICS C	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF BIOMEDICAL INFORMATICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF CHEMICAL INFORMATION AND MODELING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF CHEMINFORMATICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF COMBINATORIAL OPTIMIZATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF COMPUTATIONAL BIOLOGY	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF COMPUTATIONAL PHYSICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF COMPUTATIONAL SCIENCE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF COMPUTING IN CIVIL ENGINEERING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF HYDROINFORMATICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF INFORMETRICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF MOLECULAR GRAPHICS & MODELLING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF MOLECULAR MODELING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF NEW MUSIC RESEARCH	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF SIMULATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF STATISTICAL SOFTWARE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
JOURNAL OF VISUALIZATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
LANGUAGE RESOURCES AND EVALUATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
MATHEMATICS AND COMPUTERS IN SIMULATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
MEDICAL IMAGE ANALYSIS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
MOLECULAR INFORMATICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
NEUROINFORMATICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
QUEUEING SYSTEMS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
R JOURNAL	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
SAR AND QSAR IN ENVIRONMENTAL RESEARCH	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
SCIENTOMETRICS	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
SIMULATION MODELLING PRACTICE AND THEORY	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNAT IONAL	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
SOCIAL SCIENCE COMPUTER REVIEW	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
SOFT COMPUTING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
SPEECH COMMUNICATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
STATISTICAL ANALYSIS AND DATA MINING	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
VIRTUAL REALITY	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
ACM TRANSACTIONS ON APPLIED PERCEPTION	COMPUTER SCIENCE, SOFTWARE ENGINEERING
ACM TRANSACTIONS ON DATABASE SYSTEMS	COMPUTER SCIENCE, SOFTWARE ENGINEERING
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS	COMPUTER SCIENCE, SOFTWARE ENGINEERING
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS	COMPUTER SCIENCE, SOFTWARE ENGINEERING
ACM TRANSACTIONS ON GRAPHICS	COMPUTER SCIENCE, SOFTWARE ENGINEERING
